subject_id	cm3_split	n_volumes	fd_mean	fd_median	fd_p95	fd_gt05_frac	fd_gt10_frac	fd_gt20_frac	dvars_mean	dvars_gt50med_frac	std_dvars_mean	n_missing_core	n_nonfinite_core	qc_status	std_dvars_gt50med_frac
sub-106	val	400.0	0.2503	0.2259	0.521	0.0641	0.0	0.0	47.77	0.0	1.2179	0.0	0.0	COMPUTED	
sub-107	train	400.0	0.3419	0.3176	0.6371	0.1564	0.0	0.0	65.41	0.0	1.3837	0.0	0.0	COMPUTED	
sub-108	train	400.0	0.2674	0.2451	0.5022	0.0538	0.0	0.0	54.01	0.0026	1.4074	0.0	0.0	COMPUTED	
sub-109	train	400.0	0.3374	0.2995	0.6768	0.1641	0.0026	0.0	55.55	0.0667	1.276	0.0	0.0	COMPUTED	
sub-110	train	400.0	0.6685	0.5072	1.7451	0.5077	0.1769	0.0282	77.03	0.1026	1.2834	0.0	0.0	COMPUTED	
sub-111	train	400.0	0.6673	0.5925	1.3721	0.641	0.141	0.0077	82.16	0.0462	1.418	0.0	0.0	COMPUTED	
sub-112	train	400.0	0.1728	0.1637	0.3062	0.0026	0.0	0.0	57.7	0.0538	1.5712	0.0	0.0	COMPUTED	
sub-113	val	400.0	0.399	0.3503	0.8104	0.2564	0.0205	0.0	66.08	0.0436	1.3326	0.0	0.0	COMPUTED	
sub-114	train	400.0	0.3152	0.2836	0.6177	0.1154	0.0051	0.0	58.12	0.0359	1.3342	0.0	0.0	COMPUTED	
sub-115	train	400.0	0.3966	0.3757	0.7172	0.2513	0.0026	0.0	57.4	0.0	1.2464	0.0	0.0	COMPUTED	
sub-116	test	400.0	0.5047	0.4372	0.9613	0.4128	0.0385	0.0	66.24	0.0026	1.3986	0.0	0.0	COMPUTED	
sub-117	train	400.0	0.552	0.5173	1.068	0.5436	0.0564	0.0026	77.44	0.0103	1.3989	0.0	0.0	COMPUTED	
sub-118	train	400.0	0.3227	0.2898	0.6399	0.1359	0.0077	0.0	57.94	0.0487	1.3279	0.0	0.0	COMPUTED	
sub-119	val	400.0	0.2888	0.2657	0.508	0.059	0.0	0.0	48.74	0.0026	1.3216	0.0	0.0	COMPUTED	
sub-120	test	400.0	0.5252	0.4876	1.0053	0.4769	0.0513	0.0	71.68	0.1077	1.4125	0.0	0.0	COMPUTED	
sub-121	train	400.0	0.26	0.2345	0.4685	0.0359	0.0	0.0	56.89	0.0128	1.3961	0.0	0.0	COMPUTED	
sub-122	test	400.0	0.3386	0.3112	0.6435	0.1436	0.0026	0.0	70.15	0.0359	1.4974	0.0	0.0	COMPUTED	
sub-123	train	400.0	0.1992	0.1891	0.3828	0.0077	0.0	0.0	44.23	0.0	1.1819	0.0	0.0	COMPUTED	
sub-124	train	400.0	0.291	0.2836	0.5212	0.059	0.0	0.0	55.6	0.0051	1.2999	0.0	0.0	COMPUTED	
sub-125	train	400.0	0.4091	0.3769	0.7357	0.241	0.0128	0.0	56.18	0.0256	1.2316	0.0	0.0	COMPUTED	
sub-126	train	400.0	0.4146	0.3782	0.7832	0.2846	0.0128	0.0	55.4	0.0385	1.2988	0.0	0.0	COMPUTED	
sub-127	train	400.0	0.4412	0.4045	0.8405	0.3462	0.0179	0.0	58.75	0.0051	1.3264	0.0	0.0	COMPUTED	
